step,MIC
0.0,1.0194261204748556
0.01,1.0204324329678383
0.02,1.0214914581030627
0.03,1.02260596231123
0.04,1.0237789265778783
0.05,1.0250134939027404
0.06,1.0263129652664558
0.07,1.0276808656188792
0.08,1.029120902076823
0.09,1.030636948982163
0.1,1.032233119604707
0.11,1.033913859196013
0.12,1.0356836825541085
0.13,1.0375475770332427
0.14,1.0395106641796468
0.15,1.0415784380924944
0.16,1.043756709228035
0.17,1.046051544716387
0.18,1.0484695158335806
0.19,1.0510175122447818
0.2,1.0537028652337403
0.21,1.0565333968396922
0.22,1.0595171702602824
0.23,1.0626630579051277
0.24,1.0659803768658616
0.25,1.0694790164058512
0.26,1.0731694941455743
0.27,1.0770628113603387
0.28,1.0811711140562696
0.29,1.0855070200114822
0.3,1.0900840114449553
0.31,1.0949164855282583
0.32,1.100019929689235
0.33,1.1054106628422649
0.34,1.1111064412121558
0.35000000000000003,1.1171258444357863
0.36,1.123489191818939
0.37,1.1302178885379768
0.38,1.1373351379099785
0.39,1.1448657440718826
0.4,1.1528362694562706
0.41000000000000003,1.1612754225074398
0.42,1.1702139323934473
0.43,1.1796849305660173
0.44,1.1897245261903606
0.45,1.2003708610986732
0.46,1.2116660647021753
0.47000000000000003,1.2236551346330526
0.48,1.2363868409965018
0.49,1.2499145800171743
0.5,1.2642953315222112
0.51,1.279592140629399
0.52,1.295872844134692
0.53,1.3132122784954636
0.54,1.3316906975124991
0.55,1.3513976314668772
0.56,1.3724291042302572
0.5700000000000001,1.3948929983767706
0.58,1.4189050151425078
0.59,1.444593615577043
0.6,1.47210175904374
0.61,1.501585310258611
0.62,1.5332186919071067
0.63,1.5671921424184114
0.64,1.6037200836602106
0.65,1.6430395297305158
0.66,1.685415240248734
0.67,1.7311438011901952
0.68,1.7805548763877916
0.6900000000000001,1.834020978751998
0.7000000000000001,1.8919621730999951
0.71,1.9548487610107552
0.72,2.023215405798695
0.73,2.097667808077833
0.74,2.178893276827699
0.75,2.2676780717611114
0.76,2.3649216300946043
0.77,2.471649050063194
0.78,2.589048469288252
0.79,2.7184842092816
0.8,2.861542937817993
0.81,3.0200615235042587
0.8200000000000001,3.1961874103846895
0.8300000000000001,3.392429448363856
0.84,3.611739789327659
0.85,3.857601042920301
0.86,4.134144827291699
0.87,4.446267727447203
0.88,4.799830767739113
0.89,5.201888401933386
0.9,5.660927765966967
0.91,6.1872481584112995
0.92,6.793393540090118
0.93,7.4947720982023815
0.9400000000000001,8.310324226134032
0.9500000000000001,9.263576493228951
0.96,10.38381030102983
0.97,11.70787319519312
0.98,13.282290794762087
0.99,15.166201561188378
